구,기준년월,택시요금
서대문구,202004,12040300
서대문구,202005,11000800
서대문구,202006,13279800
서대문구,202007,14410500
서대문구,202008,13102100
서대문구,202009,13340400
서대문구,202010,11699600
서대문구,202011,11589600
서대문구,202012,10586400
서대문구,202101,9420500
서대문구,202102,8751400
서대문구,202103,12140000
서대문구,202104,11286700
서대문구,202105,11627600
서대문구,202106,11287000
서대문구,202107,11032800
서대문구,202108,10091900
서대문구,202109,8819000
서대문구,202110,7887700
서대문구,202111,9856600
서대문구,202112,9782900
서대문구,202201,9567900
서대문구,202202,8503100
서대문구,202203,10412400
서대문구,202204,9579300
서대문구,202205,8911600
서대문구,202206,6866000
서초구,201801,12497300
서초구,201802,10727900
서초구,201803,13435400
서초구,201804,12518400
서초구,201805,11960800
서초구,201806,11306400
서초구,201807,11561400
서초구,201808,14314000
서초구,201809,10641100
서초구,201810,10587300
서초구,201811,10263500
서초구,201812,12042300
서초구,201901,14301900
서초구,201902,10801400
서초구,201903,10390300
서초구,201904,9146700
서초구,201905,10930600
서초구,201906,9520100
서초구,201907,11348600
서초구,201908,11489100
서초구,201909,8555900
서초구,201910,9976900
서초구,201911,9396600
서초구,201912,10034000
서초구,202001,12474600
서초구,202002,9701000
서초구,202003,8339100
서초구,202004,6591300
서초구,202005,6515200
서초구,202006,6746000
서초구,202007,5797000
서초구,202008,7436100
서초구,202009,6065200
서초구,202010,6958200
서초구,202011,7099500
서초구,202012,7100100
서초구,202101,7999500
서초구,202102,7845800
서초구,202103,8409500
서초구,202104,8357500
서초구,202105,7972100
서초구,202106,8007400
서초구,202107,6385400
서초구,202108,8199100
서초구,202109,7265900
서초구,202110,9236700
서초구,202111,7888300
서초구,202112,7841200
서초구,202201,5406000
서초구,202202,6529100
서초구,202203,5332000
서초구,202204,5537200
서초구,202205,5841300
서초구,202206,5056100
성동구,201801,5961800
성동구,201802,6842900
성동구,201803,8224100
성동구,201804,7530800
성동구,201805,5997700
성동구,201806,6119900
성동구,201807,7268400
성동구,201808,8118700
성동구,201809,7391600
성동구,201810,7522500
성동구,201811,6722600
성동구,201812,7164200
성동구,201901,6484800
성동구,201902,6564400
성동구,201903,8287500
성동구,201904,7344000
성동구,201905,6915100
성동구,201906,8157900
성동구,201907,9425900
성동구,201908,8811600
성동구,201909,7874200
성동구,201910,7414800
성동구,201911,8368500
성동구,201912,5775000
성동구,202001,6258800
성동구,202002,6010100
성동구,202003,6962100
성동구,202004,6878400
성동구,202005,6638300
성동구,202006,6330100
성동구,202007,6781200
성동구,202008,6329800
성동구,202009,7002600
성동구,202010,7089100
성동구,202011,6706500
성동구,202012,6789400
성동구,202101,6559700
성동구,202102,5544400
성동구,202103,6552000
성동구,202104,6767600
성동구,202105,6887200
성동구,202106,5818800
성동구,202107,7014400
성동구,202108,6147100
성동구,202109,5737100
성동구,202110,5658100
성동구,202111,5442400
성동구,202112,5017700
성동구,202201,4174300
성동구,202202,3618500
성동구,202203,4462700
성동구,202204,6304600
성동구,202205,5749000
성동구,202206,5480000
성북구,201801,8978600
성북구,201802,6032700
성북구,201803,7641400
성북구,201804,8275700
성북구,201805,8164800
성북구,201806,7929000
성북구,201807,8425100
성북구,201808,8419000
성북구,201809,8424900
성북구,201810,8012900
성북구,201811,8346200
성북구,201812,8497900
성북구,201901,9211000
성북구,201902,8881500
성북구,201903,9039400
성북구,201904,7633700
성북구,201905,9836300
성북구,201906,9246400
성북구,201907,8777800
성북구,201908,8654000
성북구,201909,8947900
성북구,201910,9570900
성북구,201911,8815100
성북구,201912,7770300
성북구,202001,9009200
성북구,202002,8371000
성북구,202003,10200800
성북구,202004,9671800
성북구,202005,9394600
성북구,202006,7937200
성북구,202007,8116200
성북구,202008,7443700
성북구,202009,6211300
성북구,202010,6723800
성북구,202011,6465200
성북구,202012,6680100
성북구,202101,6826500
성북구,202102,4849300
성북구,202103,5520300
성북구,202104,5740000
성북구,202105,6981500
성북구,202106,5936500
성북구,202107,7328000
성북구,202108,8280200
성북구,202109,8783400
성북구,202110,10602800
성북구,202111,9533000
성북구,202112,10313800
성북구,202201,10011700
성북구,202202,8356600
성북구,202203,10261100
성북구,202204,10839600
성북구,202205,10433900
성북구,202206,7889600
소사구,201808,22900
소사구,202003,40500
소사구,202006,81000
소사구,202007,81000
소사구,202008,121500
소사구,202009,162000
소사구,202010,271300
소사구,202011,40500
소사구,202012,121500
소사구,202101,82400
소사구,202102,115800
소사구,202103,40500
소사구,202106,40500
소사구,202109,107800
소사구,202112,40500
소사구,202202,225400
소사구,202205,40500
송파구,201801,13362400
송파구,201802,11272900
송파구,201803,10575400
송파구,201804,10562700
송파구,201805,10394700
송파구,201806,9743200
송파구,201807,10083100
송파구,201808,10378300
송파구,201809,10156500
송파구,201810,9851900
송파구,201811,10706300
송파구,201812,13998400
송파구,201901,14717800
송파구,201902,12466000
송파구,201903,11622100
송파구,201904,11621300
송파구,201905,11448000
송파구,201906,11192100
송파구,201907,12520600
송파구,201908,13316300
송파구,201909,14943600
송파구,201910,14297500
송파구,201911,13188900
송파구,201912,17923900
송파구,202001,19336800
송파구,202002,18795400
송파구,202003,17118400
송파구,202004,20707100
송파구,202005,18665500
송파구,202006,21443600
송파구,202007,22808000
송파구,202008,20413800
송파구,202009,19345500
송파구,202010,19720200
송파구,202011,19918000
송파구,202012,18882400
송파구,202101,15938300
송파구,202102,14881800
송파구,202103,16206600
송파구,202104,14348600
송파구,202105,14636000
송파구,202106,16586800
송파구,202107,19197500
송파구,202108,20262200
송파구,202109,16986500
송파구,202110,17441400
송파구,202111,16643200
송파구,202112,17306700
송파구,202201,16780300
송파구,202202,14460500
송파구,202203,15357200
송파구,202204,17976900
송파구,202205,17282300
송파구,202206,13251700
수정구,201801,23100
수정구,201802,87900
수정구,201803,15200
수정구,201805,66700
수정구,201811,62500
수정구,201901,52300
수정구,201903,57500
수정구,201904,15300
수정구,202003,31700
수정구,202006,24100
수정구,202007,48200
