,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
1033,가양제1동,청운효자동,126.8447099,37.5695239,126.9706519,37.5841367,가양제1동청운효자동,17876,2821.772,17900
1034,구의제3동,자양제2동,127.0920204,37.5380706,127.084438,37.528825,구의제3동자양제2동,2022,827.058,3800
1035,풍납2동,등촌제2동,127.1157686,37.5292584,126.8625,37.542658,풍납2동등촌제2동,29039,3231.723,25600
1036,마천2동,방배2동,127.1485193,37.4968477,126.9855106,37.4797439,마천2동방배2동,18436,3526.018,22850
1037,답십리제1동,풍납2동,127.0512678,37.5717963,127.1157686,37.5292584,답십리제1동풍납2동,9843,2052.574,13000
1038,천호제3동,신내1동,127.1332269,37.5361455,127.099538,37.605882,천호제3동신내1동,13510,1886.942,15370
1039,돈암제1동,압구정동,127.0263875,37.6034071,127.030713,37.530642,돈암제1동압구정동,12352,2766.633,15800
1040,가락본동,마두1동,127.1217864,37.4955568,126.7898159,37.6558186,가락본동마두1동,42730,4320.687,38130
1041,역촌동,대조동,126.915114,37.6044046,126.920813,37.614165,역촌동대조동,1926,397.045,3800
1042,석관동,문정2동,127.061413,37.612957,127.1108107,37.489823,석관동문정2동,23541,3625.692,22600
1043,증산동,구산동,126.9070404,37.5843063,126.9103893,37.6117455,증산동구산동,4140,711.308,5700
1044,면목제2동,중화제2동,127.07905,37.589799,127.0795427,37.5993838,면목제2동중화제2동,2664,547.011,4800
1045,홍제제2동,구산동,126.949338,37.586107,126.9103893,37.6117455,홍제제2동구산동,5368,1222.634,8300
1046,오륜동,대치2동,127.1343,37.515425,127.0642072,37.5022848,오륜동대치2동,8272,1849.694,11200
1047,장위제3동,송천동,127.056603,37.6165512,127.023838,37.618282,장위제3동송천동,6241,1277.027,8600
1048,화곡제6동,철산3동,126.8501301,37.5518173,126.8724885,37.4771336,화곡제6동철산3동,11154,2105.468,13410
1049,석촌동,일원본동,127.1037,37.503592,127.0864633,37.4833484,석촌동일원본동,5344,927.516,7000
1050,한강로동,월곡제2동,126.9692332,37.5281071,127.0478758,37.6057667,한강로동월곡제2동,18626,1759.78,16600
1051,증산동,논현2동,126.9070404,37.5843063,127.037213,37.517342,증산동논현2동,21282,4176.959,21000
1052,신설동,중림동,127.0255251,37.5749343,126.9644863,37.5548629,신설동중림동,7920,2307.931,10500
1053,성현동,삼양동,126.9481271,37.4895366,127.0197725,37.6250518,성현동삼양동,25491,3594.416,25000
1054,오류제2동,신길제4동,126.8395371,37.4888016,126.9112884,37.5084555,오류제2동신길제4동,10075,2553.871,15590
1055,시흥제3동,이화동,126.9057945,37.4403095,127.004338,37.577008,시흥제3동이화동,29622,4132.393,33030
1056,대림제3동,용강동,126.8980312,37.4983347,126.9426766,37.5422119,대림제3동용강동,8222,1637.113,9800
1057,사당제3동,보라매동,126.9734908,37.4845247,126.9327389,37.4881456,사당제3동보라매동,6094,1107.652,7800
